model,video,feature_path,label_path,frames,frame_acc,edit,f1_10,f1_25,f1_50
asformer,20251208_094800.npy,../data/features_enhanced\01spravne\20251208_094800.npy,../data/labels\01spravne\20251208_094800.txt,679,25.331369661266567,10.344827586206895,9.230769230769232,6.153846153846154,3.076923076923077
asformer,20251208_094811.npy,../data/features_enhanced\01spravne\20251208_094811.npy,../data/labels\01spravne\20251208_094811.txt,775,22.193548387096772,6.329113924050633,2.3255813953488373,2.3255813953488373,2.3255813953488373
asformer,20251208_094836.npy,../data/features_enhanced\01spravne\20251208_094836.npy,../data/labels\01spravne\20251208_094836.txt,703,25.462304409672832,15.384615384615385,13.043478260869565,13.043478260869565,8.695652173913043
asformer,20251208_094908.npy,../data/features_enhanced\01spravne\20251208_094908.npy,../data/labels\01spravne\20251208_094908.txt,654,28.440366972477065,9.615384615384615,6.896551724137931,3.4482758620689653,3.4482758620689653
asformer,20251208_094920.npy,../data/features_enhanced\01spravne\20251208_094920.npy,../data/labels\01spravne\20251208_094920.txt,493,34.68559837728195,15.000000000000002,21.27659574468085,4.25531914893617,4.25531914893617
asformer,20251208_094934.npy,../data/features_enhanced\01spravne\20251208_094934.npy,../data/labels\01spravne\20251208_094934.txt,691,17.51085383502171,9.523809523809524,2.857142857142857,0.0,0.0
asformer,20251208_094942.npy,../data/features_enhanced\01spravne\20251208_094942.npy,../data/labels\01spravne\20251208_094942.txt,508,21.653543307086615,11.538461538461542,13.559322033898304,6.779661016949152,0.0
asformer,20251208_094947.npy,../data/features_enhanced\01spravne\20251208_094947.npy,../data/labels\01spravne\20251208_094947.txt,728,17.445054945054945,11.764705882352944,10.344827586206897,3.4482758620689653,3.4482758620689653
asformer,20251208_095002.npy,../data/features_enhanced\01spravne\20251208_095002.npy,../data/labels\01spravne\20251208_095002.txt,649,32.5115562403698,9.80392156862745,10.344827586206897,6.896551724137931,3.4482758620689653
asformer,20251208_095016.npy,../data/features_enhanced\01spravne\20251208_095016.npy,../data/labels\01spravne\20251208_095016.txt,516,28.488372093023255,13.725490196078427,17.24137931034483,3.4482758620689653,0.0
asformer,20251208_095126.npy,../data/features_enhanced\01spravne\20251208_095126.npy,../data/labels\01spravne\20251208_095126.txt,606,17.986798679867988,9.999999999999998,4.25531914893617,4.25531914893617,4.25531914893617
asformer,20251208_095128(1).npy,../data/features_enhanced\01spravne\20251208_095128(1).npy,../data/labels\01spravne\20251208_095128(1).txt,523,23.709369024856596,12.5,10.909090909090908,3.6363636363636362,0.0
asformer,20251208_095128.npy,../data/features_enhanced\01spravne\20251208_095128.npy,../data/labels\01spravne\20251208_095128.txt,635,18.425196850393704,9.615384615384615,10.16949152542373,3.389830508474576,3.389830508474576
asformer,20251208_095149.npy,../data/features_enhanced\01spravne\20251208_095149.npy,../data/labels\01spravne\20251208_095149.txt,508,25.0,14.583333333333337,10.909090909090908,3.6363636363636362,0.0
asformer,20251208_095204.npy,../data/features_enhanced\01spravne\20251208_095204.npy,../data/labels\01spravne\20251208_095204.txt,668,13.922155688622754,13.513513513513509,4.545454545454546,4.545454545454546,4.545454545454546
asformer,20251208_095205.npy,../data/features_enhanced\01spravne\20251208_095205.npy,../data/labels\01spravne\20251208_095205.txt,696,22.413793103448278,7.9999999999999964,4.878048780487805,2.4390243902439024,2.4390243902439024
asformer,20251208_095216.npy,../data/features_enhanced\01spravne\20251208_095216.npy,../data/labels\01spravne\20251208_095216.txt,514,19.06614785992218,13.207547169811317,10.0,3.3333333333333335,0.0
asformer,20251208_095251.npy,../data/features_enhanced\01spravne\20251208_095251.npy,../data/labels\01spravne\20251208_095251.txt,673,19.762258543833582,10.256410256410254,4.3478260869565215,4.3478260869565215,4.3478260869565215
asformer,20251208_095304.npy,../data/features_enhanced\01spravne\20251208_095304.npy,../data/labels\01spravne\20251208_095304.txt,506,42.094861660079054,12.28070175438597,12.5,9.375,0.0
asformer,20251208_095307.npy,../data/features_enhanced\01spravne\20251208_095307.npy,../data/labels\01spravne\20251208_095307.txt,606,24.58745874587459,9.433962264150942,3.3333333333333335,3.3333333333333335,3.3333333333333335
asformer,20251208_095325.npy,../data/features_enhanced\01spravne\20251208_095325.npy,../data/labels\01spravne\20251208_095325.txt,667,24.28785607196402,11.363636363636365,3.9215686274509802,3.9215686274509802,3.9215686274509802
asformer,20251208_095331.npy,../data/features_enhanced\01spravne\20251208_095331.npy,../data/labels\01spravne\20251208_095331.txt,516,23.837209302325583,12.06896551724138,12.307692307692308,0.0,0.0
asformer,20251208_095408.npy,../data/features_enhanced\01spravne\20251208_095408.npy,../data/labels\01spravne\20251208_095408.txt,663,20.060331825037707,9.090909090909093,2.380952380952381,2.380952380952381,2.380952380952381
asformer,20251208_095414.npy,../data/features_enhanced\01spravne\20251208_095414.npy,../data/labels\01spravne\20251208_095414.txt,652,23.159509202453986,12.82051282051282,4.3478260869565215,4.3478260869565215,4.3478260869565215
asformer,20251208_095435.npy,../data/features_enhanced\01spravne\20251208_095435.npy,../data/labels\01spravne\20251208_095435.txt,695,30.503597122302157,8.955223880597018,10.81081081081081,5.405405405405405,2.7027027027027026
asformer,20251208_095436.npy,../data/features_enhanced\01spravne\20251208_095436.npy,../data/labels\01spravne\20251208_095436.txt,496,22.983870967741936,13.953488372093027,16.0,8.0,0.0
asformer,20251208_095448.npy,../data/features_enhanced\01spravne\20251208_095448.npy,../data/labels\01spravne\20251208_095448.txt,759,18.44532279314888,9.433962264150942,3.3333333333333335,3.3333333333333335,3.3333333333333335
asformer,20251208_095546.npy,../data/features_enhanced\01spravne\20251208_095546.npy,../data/labels\01spravne\20251208_095546.txt,631,20.91917591125198,8.163265306122447,3.571428571428571,3.571428571428571,3.571428571428571
asformer,IMG_0780.npy,../data/features_enhanced\01spravne\IMG_0780.npy,../data/labels\01spravne\IMG_0780.txt,554,25.09025270758123,25.0,29.629629629629626,7.4074074074074066,7.4074074074074066
asformer,IMG_0781.npy,../data/features_enhanced\01spravne\IMG_0781.npy,../data/labels\01spravne\IMG_0781.txt,544,22.977941176470587,18.518518518518523,17.647058823529413,5.88235294117647,5.88235294117647
asformer,IMG_0782.npy,../data/features_enhanced\01spravne\IMG_0782.npy,../data/labels\01spravne\IMG_0782.txt,551,22.141560798548092,21.739130434782606,20.0,6.666666666666667,6.666666666666667
asformer,IMG_0783.npy,../data/features_enhanced\01spravne\IMG_0783.npy,../data/labels\01spravne\IMG_0783.txt,520,24.03846153846154,14.70588235294118,14.634146341463413,4.878048780487805,4.878048780487805
asformer,IMG_0784.npy,../data/features_enhanced\01spravne\IMG_0784.npy,../data/labels\01spravne\IMG_0784.txt,552,19.746376811594203,16.666666666666664,4.545454545454546,4.545454545454546,4.545454545454546
asformer,IMG_0785.npy,../data/features_enhanced\01spravne\IMG_0785.npy,../data/labels\01spravne\IMG_0785.txt,492,21.544715447154474,17.24137931034483,11.11111111111111,5.555555555555555,5.555555555555555
asformer,IMG_0786.npy,../data/features_enhanced\01spravne\IMG_0786.npy,../data/labels\01spravne\IMG_0786.txt,522,21.0727969348659,17.24137931034483,11.11111111111111,5.555555555555555,5.555555555555555
asformer,IMG_0787.npy,../data/features_enhanced\01spravne\IMG_0787.npy,../data/labels\01spravne\IMG_0787.txt,542,21.95571955719557,19.23076923076923,12.121212121212121,6.0606060606060606,6.0606060606060606
